#,PMID,Title,Decision_R1,Reason_R1,Decision_R2,Reason_R2,Consensus
1,1002505,[Indications for the reconstruction of the unstable thorax due to serial rib  fr,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
2,10215225,Bioabsorbable poly-L-lactide costal coaptation pins and their clinical  applicat,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
3,10353551,Pancreatic trauma: Universities of Melbourne HPB Group.,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
4,10443524,Non-penetrating subclavian artery trauma: management by selective transluminally,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
5,10697096,Painful nonunion of multiple rib fractures managed by operative stabilization.,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
6,10870371,Bladder entrapment after external fixation of traumatic pubic diastasis:  import,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
7,10917472,Nonsurgical management of solid abdominal organ injury in patients over 55 years,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
8,1100923,Operative stabilization of nonpenetrating chest injuries.,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
9,1105874,Surgical stabilization of traumatic flail chest.,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
10,11198758,Management of flail chest.,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
11,11284275,[Triple fracture of the superior shoulder suspensory complex].,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
12,11340704,[Acute traumatic rupture of the thoracic aorta and its branches. Results of  sur,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
13,11505635,Flail chest stabilization with palacos prosthesis.,Unclear,POSSIBLE: SSRF in rib fx - check for elderly+comparison,,,
14,11509269,Pulmonary function testing after operative stabilisation of the chest wall for  ,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
15,11515905,Operative stabilization of a flail chest six years after injury.,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
16,11587704,Operative stabilisation of painful non-united multiple rib fractures.,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
17,11820411,Assessing the severity of truncal gunshot wounds: a nation-wide analysis from  F,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
18,11956391,Surgical stabilization of internal pneumatic stabilization? A prospective  rando,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
19,11990843,Traumatic thoracic spinal fracture dislocation with minimal or no cord injury.  ,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
20,12030045,[Early surgical stabilization of the thorax].,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
21,12103366,Transcutaneous electrical nerve stimulation for pain management in patients with,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
22,1222462,[Flail chest in a child. Cure by the combination of osteosynthesis and continuou,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
23,12238872,Traumatic extrathoracic lung herniation.,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
24,1235693,[Surgical treatment of fractures in persons with multiple injuries].,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
25,1235711,[Multiple injuries at the surgical department of the military hospital Meljina i,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
26,1270498,The management of thoracic and thoraco-lumbar injuries of the spine with  neurol,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
27,1285977,[Diagnosis and treatment of complex closed chest injuries].,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
28,12950135,Acute myocardial infarction caused by coronary artery dissection following blunt,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
29,13523170,Stove-in chest; a new method of internal fixation.,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
30,14435553,[Severe thoracic injury. Costal break: immediate osteosynthesis. Recovery].,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
31,14446398,[Experimental principles of the treatment of rib fractures in radiation sickness,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
32,14510113,Penetrating chest injuries in civilian practice.,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
33,14569483,[Clinical results of four hundred and twenty-four cases with chest trauma].,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
34,14569484,[Chest trauma: analysis of 592 cases].,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
35,14608152,Absorbable plates for rib fracture repair: preliminary experience.,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
36,14743032,Intrathoracic humeral head fracture-dislocation.,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
37,14977734,Open fixation in flail chest: review of 64 patients.,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
38,15074182,[Successful conservative management in two patients with a tracheobronchial  rup,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
39,15103568,[Flail chest due to blunt trauma: clinical features and factors affecting  progn,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
40,15353456,Factors affecting early exsanguination and death in blunt thoracic aortic trauma,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
41,15370594,Early intramedullary nailing of lower extremity fracture and respiratory functio,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
42,15581318,"Surgical repair of rib fractures in 14 neonatal foals: case selection, surgical ",Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
43,15628710,Achalasia presenting after operative and nonoperative trauma.,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
44,15674171,Operative chest wall fixation with osteosynthesis plates.,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
45,15919275,Successful conservative management in iatrogenic tracheobronchial injury.,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
46,1616723,Blunt chest injuries in 1696 patients.,Exclude,NO MATCH: Doesn't meet core PICO criteria,,,
47,16212597,Multiple rib fracture in a neonatal foal using a nylon strand suture repair  tec,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
48,16214360,New insights into the pathophysiology of flail segment: the implications of  ant,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
49,16308678,"[Elastic, stable intramedullary nailing in midclavicular fractures--a change in ",Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
50,16322967,[Does timing of thoracic spine stabilization influence perioperative lung  funct,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
