PMID,Title,Abstract,Reviewer1_Decision,Reviewer1_Notes,Reviewer2_Decision,Reviewer2_Notes,Final_Decision,Exclusion_Reason
"1002505","[Indications for the reconstruction of the unstable thorax due to serial rib  fractures and respiratory insufficiency].","Because of the impending danger of bronchopneumonial infection caused by hospital  germs we consider it of utmost importance in the care and treatment of patients  with instable thorax to shorten the period of intubation and artificial  respiration. By stabilizing 3 or 4 chozen ribs within the flailing chest wall, we  found it possible to significantly reduce the period of intubation, intensive  care and hospitalisation. The splinting of several ribs individually by  introducing socalled ""Rehbe","","","","","",""
"10215225","Bioabsorbable poly-L-lactide costal coaptation pins and their clinical  application in thoracotomy.","BACKGROUND: To gain a wider operation field, ribs often are fractured as the  intercostal retractor is expanded. Thoracotomy through the periosteal bed and  other procedures have been performed to prevent rib fractures, and rib resections  occasionally have been required. METHODS: We designed a poly-L-lactide costal  coaptation pin. We used this pin in 184 thoracotomies and carried out long-term  observation after insertion to evaluate its clinical efficacy and safety.  Postoperative observation","","","","","",""
"10353551","Pancreatic trauma: Universities of Melbourne HPB Group.","BACKGROUND: Pancreatic trauma is uncommon, but carries high morbidity and  mortality rates, especially when diagnosis is delayed or inappropriate surgery is  attempted. Although the retroperitoneal position of the pancreas confers it some  immunity to injury, the force required to do so often results in severe  associated injuries to other organs, which may be life threatening. Diagnosis may  be difficult and surgery can be a considerable technical challenge. METHODS: All  patients with pancreat","","","","","",""
"10443524","Non-penetrating subclavian artery trauma: management by selective transluminally  placed stent device.","Non-penetrating injury to the subclavian artery has not often been reported. The  limited experience of surgeons with this type of trauma and the difficult  vascular control required for its management make it a surgical challenge. We  report on two cases, one after blunt trauma and the other with a subclavian  artery aneurysm following anterior dislocation of the shoulder. Percutaneous  stent implantation in the subclavian artery was successfully performed with, in  the second case, coil emboli","","","","","",""
"10697096","Painful nonunion of multiple rib fractures managed by operative stabilization.","","","","","","",""
"10870371","Bladder entrapment after external fixation of traumatic pubic diastasis:  importance of follow-up computed tomography in establishing prompt diagnosis.","A 30-year-old male was an unrestrained driver in a high-speed motor vehicle  crash. On presentation, the patient was profoundly hypotensive with multiple  injuries, including a 20-cm-deep perineal laceration with avulsion of the rectum,  a diffusely tender abdomen, an unstable open-book pelvic fracture, and multiple  rib fractures. Blood noted at the urethral meatus prompted a retrograde  urethrogram and cystogram, which were within normal limits. A Foley catheter was  placed with the return of ","","","","","",""
"10917472","Nonsurgical management of solid abdominal organ injury in patients over 55 years  of age.","Age greater than 55 is often stated to be a contraindication to nonoperative  management of intraperitoneal solid organ injury, based upon failures in early  experiences of nonoperative therapy. Refinements in the criteria for nonoperative  management of hepatic and splenic injuries have yielded improved success rates  compared with those in initial reports, raising questions as to the validity of  an age-related contraindication. A retrospective chart review of patients more  than 55 years of a","","","","","",""
"1100923","Operative stabilization of nonpenetrating chest injuries.","Since 1958, a series of 112 patients with severe or moderately severe chest  injuries have been treated. An aggressive policy has been adopted toward  correcting or preventing major paradoxical chest wall movement by intramedullary  pinning of ribs, costal cartilages, and the sternum. Whenever possible,  positive-pressure mechanical ventilation and tracheostomy have been avoided.  Fifty patients underwent stabilizing operations. The surgical approach was  anterolateral in 12 (average 3.3 pins), ","","","","","",""
"1105874","Surgical stabilization of traumatic flail chest.","Since 1970 we have stabilized the ribs to correct paradoxical movement of the  chest wall in chest injuries, using an original technique, in order to avoid as  far as possible the need for long-term chest wall stabilization by intermittent  positive pressure respiration (IPPR). The technical details of surgical  stabilization are described, and the different types of stainless steel struts  are shown. Type I was originally used either as an intramedullary nail or as an  external brace. Types II ","","","","","",""
"11198758","Management of flail chest.","","","","","","",""
"11284275","[Triple fracture of the superior shoulder suspensory complex].","The authors present the case of a displaced fracture of the coracoid process  associated with a displaced fracture of the acromion, an undisplaced fracture of  the clavicule and fractures of the first to fifth ribs. Open reduction of the  coracoid process fracture was performed. At the last follow-up, the coracohumeral  distance was restored (10 mm), but the acromiohumeral distance in the sagittal  place was decreased (5 mm). The authors recommend open reduction of displaced  fractures around th","","","","","",""
"11340704","[Acute traumatic rupture of the thoracic aorta and its branches. Results of  surgical management].","STUDY AIM: The aim of this retrospective study was to report a series of 102  patients with acute traumatic rupture of the thoracic aorta and its branches  (TRA) and to evaluate long-term results. PATIENTS AND METHODS: From April 1977 to  April 2000, 102 patients with RTA were admitted to our unit. Age ranged between  12 and 74 years (mean age: 33 years). Localisation was: ascending aorta (n = 3),  aortic arch (n = 1), isthmus (n = 92), descending aorta (n = 1), innominate  artery (n = 3), and l","","","","","",""
"11505635","Flail chest stabilization with palacos prosthesis.","The approach and management of patients with post-traumatic flail chest continue  to be a controversial issue. A method of surgical stabilization of flail chest  using palacos, a cement-like material is described. A ready-made prosthesis is  placed on the external side of the ribs vertically bridging the flailed chest  segment, and fixed to the first upper and first lower intact rib as well as to  the mobile segments of the affected ribs. Surgical fixation was carried out in 56  patients. The re","","","","","",""
